sp_name,length,url,field_name,area_name,executor_name,overload_name,sp_city_name,active,coordinates,hzz
Bioprocesno inženjerstvo,2,www.pbf.unizg.hr/hr/studij/diplomski_studij_bolonjski_proces/bioprocesno_inzenjerstvo,Biotehnologija,Biotehničke znanosti,Prehrambeno-biotehnološki fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9641624,45.807354","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Biotehnologija u medicini,2,www.biotech.uniri.hr/hr/studiji/diplomski-sveucilisni-studij-biotehnologija-u-medicini.html,Bez polja,Bez područja,Odjel za biotehnologiju Sveučilišta u Rijeci,Sveučilište u Rijeci,Rijeka,1,"14.4667629,45.3277614",""
Brodogradnja,2,www.riteh.uniri.hr/nast/novi_progr/sv_br_d/,Brodogradnja,Tehničke znanosti,Tehnički fakultet Sveučilišta u Rijeci,Sveučilište u Rijeci,Rijeka,1,"14.4258374,45.3375315",Stručnjaci iz područja informatike i tehničkih znanosti
Brodogradnja,1,www.fsb.unizg.hr/?studijski_programi#_Toc73154548,Brodogradnja,Tehničke znanosti,Fakultet strojarstva i brodogradnje Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.971241,45.795332",Stručnjaci iz područja informatike i tehničkih znanosti
Brodostrojarstvo,2,www.pfst.hr/hr/buduci-studenti/diplomski-studiji/2012-01-30-04-32-29,Tehnologija prometa i transport,Tehničke znanosti,Pomorski fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.46853339999999,43.5120164",Stručnjaci iz područja informatike i tehničkih znanosti
Brodostrojarstvo i tehnologija pomorskog prometa,2,www.pfri.uniri.hr/index.php?option=com_content&view=article&id=92&Itemid=160&lang=hr,Tehnologija prometa i transport,Tehničke znanosti,Pomorski fakultet Sveučilišta u Rijeci,Sveučilište u Rijeci,Rijeka,1,"14.4361747,45.3303549",Stručnjaci iz područja informatike i tehničkih znanosti
Crkvena glazba - Glazbena pedagogija,1,www.muza.unizg.hr/index.php?option=com_content&view=article&id=127&Itemid=245,Glazbena umjetnost,Umjetničko područje,Muzička akademija Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9686544,45.810104","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Čembalo; smjer: Izvođački,1,www.muza.unizg.hr/index.php?option=com_content&view=article&id=124&Itemid=242,Glazbena umjetnost,Umjetničko područje,Muzička akademija Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9686544,45.810104","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Dirigiranje,1,www.muza.unizg.hr/index.php?option=com_content&view=article&id=122&Itemid=237,Glazbena umjetnost,Umjetničko područje,Muzička akademija Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9686544,45.810104","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Diskretna matematika i primjene,2,www.math.uniri.hr/hr/studiji/diplomski-studija-diskretna-matematika-i-primjene.html,Matematika,Prirodne znanosti,Odjel za matematiku Sveučilišta u Rijeci,Sveučilište u Rijeci,Rijeka,1,"14.4670646,45.3285603","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
